category_id;category_name;category_priority;non
qF496;Centre CEA;30;
Lv44w;Centre INRAE;30;
HdCkH;D?l?gation r?gionale du CNRS;30;
VshaQ;Centre de recherche Inria;30;
bL23I;Juridiction administrative;30;
q8tJX;D?partement du HCERES;30;
ryfj2;Sous-direction d'administration centrale;30;
T0EFj;Centre local des ?uvres universitaires et scolaires;30;
LnYLc;Nouveaux cursus ? l'universit?;30;n
jIS1r;Laboratoires d'excellence;30;
zOlB9;Association professionnelle;30;
OBJTC;Composante d'universit? avec formation dipl?mante;30;
7732P;?quipements d'excellence;30;
hP4Xy;?cole universitaire de recherche;30;
JMhiX;Biblioth?que;30;
Ve92P;Accr?ditation;30;n
LL7Fz;Label;30;n
UfEnK;?tablissement d'enseignement sup?rieur priv? d'int?r?t g?n?ral;30;
lnZ2E;Infrastructure monosite;40;
3lZrK;Infrastructure distribu?e;40;
ESB2I;Infrastructure virtuelle;40;
5bRja;Universit? tertiaire - droit et ?conomie;40;
yX0Xs;Universit? tertiaire - lettres et sciences Humaines;40;
UvC9F;Universit? pluridisciplinaire hors sant?;40;
tu7fX;Universit? pluridisciplinaire avec sant?;40;
z367d;Structure de recherche;40;
9SG53;Centre des ?uvres universitaires et scolaires;40;
LzIYN;Universit? scientifique et/ou m?dicale;40;
CyM9P;Infrastructure du domaine : Recherche en Sciences du Num?rique et Math?matiques;50;
9H7t3;Infrastructure du domaine : Sciences Humaines et Sociales;50;
JavYX;Infrastructure du domaine : Sciences de la mati?re et ing?nierie;50;
cD3U6;Infrastructure du domaine : Physique nucl?aire et des hautes ?nergies;50;
ahqzG;Infrastructure du domaine : Biologie et Sant?;50;
9QOuL;Infrastructure du domaine : ?nergie;50;
Zlvd7;Infrastructure du domaine : Sciences du Syst?me Terre et de l?Environnement;50;
S7sst;Infrastructure du domaine : Information scientifique et technique;50;
k2z84;Infrastructure du domaine : Astronomie et Astrophysique;50;
DsSZu;Infrastructure du domaine : E-Infrastructures;50;
EfjGM;Pole de comp?titivit? - Phase 4 (2019-2022) - Labellisation 4 ans;50;n
c390r;P?le de comp?titivit? - Phase 4 (2019-2022) - Labellisation 1 an;50;n
7w3QE;Autre structure;50;
21Fxr;Site secondaire;50;n
2iKO6;Concept;50;n
390zw;D?volution du patrimoine immobilier;50;n
ruGN7;Infrastructure du sous-domaine : Du pr?-clinique au clinique;60;
Da6Wc;Infrastructure du sous-domaine : Organismes mod?les et ressources;60;
sg4CY;Infrastructure du sous-domaine : Exploration fonctionnelle;60;
u7HYW;Infrastructure du sous-domaine : Bioinformatique, Cohortes, Bases de donn?es;60;
2WIXc;Responsabilit?s et comp?tences ?largies en mati?re budg?taire et de gestion des ressources humaines;60;n
mjy50;Infrastructure de recherche (ROR);65;
rslqh;Institution publique (ROR);65;
2fy6x;Entreprise (ROR);65;
8rh6n;?tablissement d'enseignement sup?rieur (ROR);65;
7g7dr;?tablissement de sant? (ROR);66;
4urre;Association li?e ? des activit?s de recherche (ROR);67;
wwi3h;Archive (ROR);67;
lcblh;Organisme de soutien ? la recherche (ROR);69;
vdg7l;?tablissement fran?ais pr?sent dans le classement de Shanghai;70;
dN4cZ;Infrastructure de dimension internationale;70;
saD4a;Infrastructure de dimension europ?enne;70;
mPPaJ;?tablissement fran?ais pr?sent dans le classement de Shanghai 2020;74;n
hn39q;?tablissement fran?ais pr?sent dans le classement de Shanghai 2018;75;n
ydckd;?tablissement fran?ais pr?sent dans le classement de Shanghai 2017;75;n
hpza9;?tablissement fran?ais pr?sent dans le classement de Shanghai 2016;75;n
m03vz;?tablissement fran?ais pr?sent dans le classement de Shanghai 2015;75;n
41fkn;?tablissement fran?ais pr?sent dans le classement de Shanghai 2014;75;n
qt8jq;?tablissement fran?ais pr?sent dans le classement de Shanghai 2013;75;n
ltblx;?tablissement fran?ais pr?sent dans le classement de Shanghai 2012;75;n
oyso1;?tablissement fran?ais pr?sent dans le classement de Shanghai 2011;75;n
9gbth;?tablissement fran?ais pr?sent dans le classement de Shanghai 2010;75;n
psgmw;?tablissement fran?ais pr?sent dans le classement de Shanghai 2009;75;n
837tk;?tablissement fran?ais pr?sent dans le classement de Shanghai 2008;75;n
p1jcw;?tablissement fran?ais pr?sent dans le classement de Shanghai 2007;75;n
zp1rl;?tablissement fran?ais pr?sent dans le classement de Shanghai 2006;75;n
jrnc4;?tablissement fran?ais pr?sent dans le classement de Shanghai 2005;75;n
qvybj;?tablissement fran?ais pr?sent dans le classement de Shanghai 2004;75;n
vkem1;?tablissement fran?ais pr?sent dans le classement de Shanghai 2003;75;n
y8uce;?tablissement fran?ais pr?sent dans le classement de Shanghai 2024;75;n
u4n3f;Etablissements fran?ais pr?sents dans le classement de Shanghai 2023;75;n
RAE5Y;Etablissement compos? uniquement de STS et/ou de CPGE;75;n
tJ2fW;Etablissement fran?ais pr?sent dans le classement Times Higher Education (THE) 2023;75;n
ZAYxe;Etablissement accr?dit? ? d?livrer un  ou plusieurs dipl?mes nationaux;75;
bf4i6;Canc?rop?le;75;
U583Y;Etablissement fran?ais pr?sent dans le classement de Shanghai 2022;75;n
cSVaA;Start-Up issue d'un Organisme National de Recherche;75;n
Lr86T;Unit? r?gionale de formation ? l'information scientifique et technique;75;n
7v8JM;Incubateur;75;
tZiYs;Start-up issue du programme d'accompagnement Magellan du CEA;75;n
939O0;Start-up issue du programme d'accompagnement INRIA Start-Up Studio d'INRIA;75;n
Tz7r0;Start-up issue du programme d'accompagnement Rise du CNRS;75;n
58apL;Start-up accompagn?e par l'Universit? Paris Saclay;75;n
lWlfw;Start-up accompagn?e par l'Universit? Paris Sciences et Lettres;75;n
4wuYj;Start-up accompagn?e par l'INRIA;75;n
YEGTT;Start-up accompagn?e par l'INSERM;75;n
J0fLp;Start-up ayant b?n?fici? d'un programme d'accompagnement;75;n
x1ZKk;Start-up accompagn?e par le CNRS;75;n
GBCfD;Start-up accompagn?e par l'INRAE;75;n
rh13d;Start-Up;75;
BpjO2;Start-up accompagn?e par le CEA;75;n
DQuJj;Programme Fulbright;75;n
tttW0;Service d'Information Scientifique et Technique;75;
Sv5bb;Tutelle des ?tablissements;75;n
lp9Ji;Centre de ressource, d'expertise et de performances sportives;75;n
snhsg;Institut de Pr?paration ? l'Administration G?n?rale;75;
A9Xan;Alliance;75;
ff21L;Structures fran?aises pr?sentes dans le classement THE Young University Ranking 2022;75;n
P1aMH;Antenne de P?le ?tudiant pour l?innovation, le transfert et l?entrepreneuriat;75;n
yfY82;Autre institution ?trang?re;75;n
M3ild;Direction r?gionale de l'?conomie, de l'emploi, du travail et des solidarit?s;75;
Rgg1y;Bureau d'aide psychologique universitaire;75;n
mEzjg;Ecole technico-professionnelle de services;20;n
e3Ciu;Etablissement d'enseignement sup?rieur autoris? ? d?livrer un dipl?me vis? par le ministre charg? de l'enseignement sup?rieur et pouvant conf?rer le grade de licence ou de master ? leurs titulaires;75;
MUljn;D?monstrateur num?rique dans l'enseignement sup?rieur;75;n
mb6kn;Office de Transfert de Technologie;75;
Ad7lw;Service interuniversitaire de documentation;75;n
B0nUY;Direction op?rationnelle CEA;75;
xmAXA;Coll?ge public;75;
G6FNH;Institut r?gional d'administration;75;
zErnz;Etablissements d'enseignement sup?rieur agricole priv?s d'int?r?t g?n?ral aggr?s ? dispenser une formation pr?parant au dipl?me d'Etat de docteur v?t?rinaire;75;
r7E0j;Label Science avec et pour la Soci?t?;75;n
BNc96;Institut de Formation en Soins Infirmiers et Aide-Soignants;75;
A8F3B;Structure documentaire;75;
D93sU;Etablissements labellis?s Qualiopi;75;n
uD1D6;Ecole sup?rieure priv?e sous contrat avec le minist?re charg? de l'agriculture;75;
cK9Hd;Lyc?e professionnel priv?;75;
GcHqM;Service d'activit?s industrielles et commerciales;75;
D0jbC;P?le universitaire d'innovation;75;
f4yK0;Institut Carnot;75;
Zcc8g;Sous-th?matique des initiatives des acteurs du sup;75;n
nqp7r;Instance du Centre national de la recherche scientifique;75;
T9gjR;Etablissements fran?ais pr?sents dans le classement U-Multirank 2021;75;n
mlkGR;Th?matique des initiatives des acteurs du sup;75;n
g3Glm;Service Commun de Documentation;75;n
H93xL;Etablissement fran?ais pr?sent dans le classement Times Higher Education (THE) 2022;75;n
luH10;Biblioth?que int?gr?e;75;
Ff8RN;Structure labellis?e CollEx-Pers?e;75;n
DH2Ky;Dipl?me universitaire de technologie - Secteur de la production;75;
Gz8uF;?tablissement fran?ais pr?sent dans le classement de Shanghai 2021;75;n
uZ2E2;Entreprise ?trang?re;75;
NT21A;Dipl?me universitaire de technologie - Secteur des services;75;n
zFgns;Instance ?tudiante repr?sent?e au CNESER;75;n
HY5rY;Campus des m?tiers et des qualifications labellis?;75;n
ZKsGj;Label D?veloppement Durable et Responsabilit? Soci?tale;75;n
dLXCj;Ecole sup?rieure technique autoris?e ? d?livrer un dipl?me reconnu par le MESRE;75;
t8kDS;Structure accueillant une ou plusieurs Pr?pa Talents;75;n
mNJ1Z;Incubateur public;75;
pQG71;Structure relevant du CNAM;75;n
J8PpC;Province;75;n
Fm9Tk;Structure d?centralis?e du CNAM;75;n
tHjcl;Ecole de sp?cialisation d?livrant un dipl?me d'ing?nieur de sp?cialisation aux ?l?ves d?j? titulaires d'un dipl?me d'ing?nieur;75;n
YHTyQ;Ecole ou site relevant d'une ?cole accr?dit?e ? d?livrer un titre d'ing?nieur dipl?m?;75;n
a4V56;Label Centre d'excellence du Minist?re des Arm?es;75;n
CH2Z9;Infrastructure de recherche candidate ? la feuille de route 2021;75;n
c8auP;Programme cadre de recherche et innovation;75;n
s8Vm3;Institut pour la transition ?nerg?tique;75;
IeBt6;Unit? mixte des instituts fran?ais de recherche ? l'?tranger;75;
B6w5C;Mus?e;75;
qC5q7;Cat?gorie de CurieXplore;75;n
HW0F6;Unit? mixte internationale du CNRS;75;
ytPUL;Unit? de service et de recherche du CNRS;75;
jxv8Z;Implantation de structures fran?aises ? l'?tranger;75;n
eYx1y;Implantation de structures ?trang?res en France;75;n
zyS61;Bureau du CNRS ? l'?tranger;75;
S7YIZ;Equipement ou plate-forme au service de la recherche et de l'innovation;75;
d5f31;Bachelor universitaire de technologie;75;n
epEL4;?tablissement fran?ais pr?sent dans le classement de Shanghai 2019;75;n
CQ90t;?tablissement participant ? la phase 2 du dialogue strat?gique de gestion;80;n
kd36E;Universit? issue d'une fusion;80;
iwnyd;Cat?gories de ROR (types) ;97;n
isa9p;Start-ups accompagn?es par un incubateur public ;99;
qtwih;Label G?n?ration 2030;99;n
7jrkz;Op?rateur du programme 361 - Transmission des savoirs et d?mocratisation de la culture;99;
5zvn4;Autorit? publique ind?pendante;99;
vruol;?tablissements de sant? priv?s d?int?r?t collectif;99;
a7fnb;Agence de programmes;99;
2o7z8;Etablissement d'enseignement sup?rieur ?tranger d?livrant un dipl?me reconnu par l'Etat fran?ais;99;
5nuf9;?tablissement pr?sent dans fresq;99;n
690xz;Autre composante d'universit?;99;n
1dx1a;Soci?t? d'acc?l?ration du transfert de technologies Exp?rimentale;99;
mz2lc;?cole technico-professionnelle des services;60;
jhpy9;?tablissement fran?ais pr?sent dans le classement de Shanghai 2025;99;
k0fbn;CEA Tech en r?gion;99;
dnn2p;Ecole d?livrant un dipl?me ?valu? par la CEFDG;99;n
et0pf;Groupe hospitalo-universitaire;99;
wmc39;Antenne d'un ?tablissement d'enseignement sup?rieur priv?;99;n
5hmpb;P?le universitaire d'innovation - Exp?rimentation;99;
ecqpb;Typologie des universit?s;99;n
xvai7;Observatoire des sciences de l'Univers;99;
8w0ro;Antenne d?localis?e d'une composante d'universit?;99;n
tqnzf;Antenne d?localis?e d'un institut interne d'universit?;99;n
lh8e2;Service Commun Handicap;99;n
gfvj5;Ecole de Formation Juridique;99;
8yp49;Section d'Enseignement Professionnel;99;
8ck3v;Centre de r?f?rence maladie rare;99;
mn0ew;Unit? de formation et de Recherche;99;n
ptm84;Service Commun d'Information et d'Orientation;99;n
t39nt;Lyc?e Technologique Priv?;99;
8ae3e;Lyc?e technologique public;99;
wthv1;Learning centre;99;n
z80mt;Etablissements labellis?s BSIS;99;n
x62rl;Formation de recherche en ?volution;99;n
by7u3;Ecole technico-professionnelle de production industrielle;99;
buz3v;Universit?s accr?dit?es ? d?livrer un dipl?me d'Etat d'infirmier de bloc op?ratoire;99;
8cb9j;Universit?s accr?dit?es ? d?livrer un dipl?me d'Etat d'infirmier en pratique avanc?e;99;
fa71w;Infrastructure de recherche inscrite dans la feuille de route 2021;99;n
95ius;?tablissement de la 3eme vague de COMP;99;n
dmk6m;?tablissement de la 2eme vague de COMP;99;n
fj4jd;"Universit? appel?e ""normales, de villes moyennes"" (clusters V. Berger)";99;n
d0hip;"Universit? ? dominante ""droit-?co"" (clusters V. Berger)";99;n
1mlgd;"Universit? ? dominante ""SHS"" (clusters V. Berger)";99;n
z084c;"Universit? ""de proximit?"" (clusters V. Berger)";99;n
jle7x;"Universit? ""de recherche intensive"" (clusters V. Berger)";99;n
za9vp;Institut hospitalo-universitaire ?mergent;99;
tbua6;Association d'anciens ?l?ves/?tudiants;99;
lRiow;?cole d'ing?nieurs sous tutelle du MESR;99;
1yIP0;Magazine ;99;n
hlnOX;Pole de comp?titivit? - Phase 5 (2023-2026) - Labellisation 1 an;99;n
or8Z5;Pole de comp?titivit? - Phase 5 (2023-2026) - Labellisation 2 ans;99;n
d22Y0;Pole de comp?titivit? - Phase 5 (2023-2026) - Labellisation 4 ans;99;n
uEQ0Z;Pr?sent dans le palmar?s Inpi 2022;99;n
lHssW;?tablissement participant au COMP;99;n
yfbyS;Emploi scientifique;99;n
FAFNi;?tablissement de la 1?re vague de COMP;99;n
GtR5Q;Start-up proche de la recherche publique;99;
HqP9Q;Mus?e national;99;
nbmjG;Parc national;99;
6w6KN;CCI ? l'?tranger;99;n
blc9B;Espace Campus France ? l'?tranger;99;n
CyXlx;Etablissement t?te de Cord?e de la r?ussite relevant du MESR;99;n
mFT4Z;Etablissement t?te de Cord?e de la R?ussite;99;n
Mf2pG;Etablissement t?te de Cord?e de la r?ussite relevant du MENJS;99;n
gNcAQ;Campus connect?, laur?at du Programme d'investissement d'avenir 3?me vague;99;n
CWT41;Campus connect?, laur?at du Programme d'investissement d'avenir 2?me vague;99;n
lXqBR;Campus connect?, laur?at du Programme d'investissement d'avenir 1?re vague;99;n
TBS8m;Tiers-lieu proposant d?accueillir les ?tudiants pendant la fermeture des ?tablissements;99;n
Ehu53;Structure de #dialogue;99;n
ubnO4;Infrastructure de recherche inscrite dans la feuille de route 2018;99;n
j7jS2;Liste d'?tablissements;99;n
v1vFV;Regroupement universitaire;99;
WkSgR;Etablissement publics d?enseignement sup?rieur entrant dans la cotutelle du ministre charg? de l?enseignement sup?rieur (Art L 123-1 du code de l??ducation);99;
fQ6GL;Etablissements d?enseignement sup?rieur techniques priv?s (hors formations relevant du commerce et de la gestion);60;
YNqFb;Commerce et gestion - Etablissements d?enseignement sup?rieur techniques priv?s et consulaires autoris?s ? d?livrer un dipl?me vis? par le ministre charg? de l?enseignement sup?rieur et/ou ? conf?rer le grade universitaire;99;
Vq6b5;Campus connect? exp?rimental;99;n
bSBeZ;Campus connect?, laur?at du Programme d'investissement d'avenir;99;n
EI41a;Autres ?tablissements (liste priv?e);99;n
WCat8;Liste des ?tablissements publics relevant du ministre charg? de l'Enseignement sup?rieur;99;n
fziPX;"Label ""G?n?ration 2024""";99;n
gxhKp;Op?rateur du programme 129 - Coordination du travail gouvernemental;99;
yh4Ri;Op?rateur du programme 220 - Statistiques et ?tudes ?conomiques;99;
4h3YE;Op?rateur du programme 343 - Plan France Tr?s haut d?bit;99;
HErVw;Op?rateur du programme 308 - Protection des droits et libert?s;99;
X44E9;Op?rateur du programme 149 - Comp?titivit? et durabilit? de l'agriculture, de l'agroalimentaire, de la for?t, de la p?che et de l'aquaculture;99;
jwcjL;Op?rateur du programme 206 - S?curit? et qualit? sanitaires de l'alimentation;99;
Zc77B;Op?rateur du programme 215 - Conduite et pilotage des politiques de l'agriculture;99;
TfGgn;Op?rateur du programme 354 - Administration territoriale de l'?tat;99;
PPRYz;Op?rateur du programme 232 - Vie politique, cultuelle et associative;99;
gMgIG;Op?rateur du programme 216 - Conduite et pilotage des politiques de l'int?rieur;99;
lwt9m;Op?rateur du programme 134 - D?veloppement des entreprises et r?gulations;99;
U9Gvf;Op?rateur du programme 305 - Strat?gie ?conomique et fiscale;99;
jev4E;Op?rateur du programme 110 - Aide ?conomique et financi?re au d?veloppement;99;
xJaZU;Op?rateur du programme 209 - Solidarit? ? l'?gard des pays en d?veloppement;99;
3b4tz;Op?rateur du programme 131 - Cr?ation;99;
29pu9;Op?rateur du programme 743 - Pensions militaires d'invalidit? et des victimes de guerre et autres pensions;99;
b5zTb;Op?rateur du programme 224 - Transmission des savoirs et d?mocratisation de la culture;99;
7wP6w;Op?rateur du programme 175 - Patrimoines;99;
593cg;Op?rateur du programme 164 - Cour des comptes et autres juridictions financi?res;99;
5GWOU;Op?rateur du programme 741 - Pensions civiles et militaires de retraite et allocations temporaires d'invalidit?;99;
ZNnCd;Op?rateur du programme 742 - Ouvriers des ?tablissements industriels de l'?tat;99;
9e14q;Op?rateur du programme 340 - Haut Conseil des finances publiques;99;
